Id,Time
1410233961739,7
1410233961743,3
1410233961747,3
1410233961751,4
1410233961769,18
1410233961794,25
1410233961799,5
1410233961803,4
1410233961807,4
1410233961811,3
1410233961815,3
1410233961819,4
1410233961823,4
1410233961827,4
1410233961831,4
1410233961834,3
1410233961838,3
1410233961842,4
1410233961846,4
1410233961850,4
1410233961854,4
1410233961858,4
1410233961862,4
1410233961890,28
1410233961909,19
1410233961913,4
1410233961917,4
1410233961921,3
1410233961925,3
1410233961929,3
1410233961933,4
1410233961938,4
1410233961942,4
1410233961946,4
1410233961949,3
1410233961953,3
1410233961958,4
1410233961976,17
1410233961979,3
1410233961985,4
1410233961987,4
1410233961992,3
1410233961995,4
1410233961999,4
1410233962003,4
1410233962006,3
1410233962010,4
1410233962014,4
1410233962018,4
1410233962022,4
1410233962026,4
1410233962030,4
1410233962034,4
1410233962037,3
1410233962041,3
1410233962045,4
1410233962049,4
1410233962052,3
1410233962056,3
1410233962060,4
1410233962063,3
1410233962068,4
1410233962072,4
1410233962076,4
1410233962080,4
1410233962085,5
1410233962089,4
1410233962093,4
1410233962097,4
1410233962101,4
1410233962105,4
1410233962108,3
1410233962112,3
1410233962116,4
1410233962120,4
1410233962123,3
1410233962128,4
1410233962131,5
1410233962135,4
1410233962139,4
1410233962142,3
1410233962146,4
1410233962150,3
1410233962153,4
1410233962157,3
1410233962161,4
1410233962165,4
1410233962169,4
1410233962172,4
1410233962176,4
1410233962180,4
1410233962184,4
1410233962187,3
1410233962191,4
1410233962195,4
1410233962199,4
1410233962202,3
1410233962206,3
1410233962210,3
1410233962213,4
1410233962217,4
1410233962221,4
1410233962225,4
1410233962229,4
1410233962232,3
1410233962236,3
1410233962240,4
1410233962244,4
1410233962248,4
1410233962252,4
1410233962256,4
1410233962334,78
1410233962341,7
1410233962345,4
1410233962350,3
1410233962352,3
1410233962357,3
1410233962359,3
1410233962372,11
1410233962375,12
1410233962380,5
1410233962384,4
1410233962388,4
1410233962392,4
1410233962396,4
1410233962400,3
1410233962404,4
1410233962408,4
1410233962412,4
1410233962416,4
1410233962420,4
1410233962423,3
1410233962427,3
1410233962431,3
1410233962435,3
1410233962439,4
1410233962443,3
1410233962455,13
1410233962460,4
1410233962484,24
1410233962493,30
1410233962498,4
1410233962502,4
1410233962506,4
1410233962510,4
1410233962515,5
1410233962521,6
1410233962525,4
1410233962528,3
1410233962532,3
1410233962536,3
1410233962540,3
1410233962544,3
1410233962548,4
1410233962552,4
1410233962555,3
1410233962559,3
1410233962563,4
1410233962567,4
1410233962571,4
1410233962575,4
